"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"64","Cu","Grand Canyon","Winter",20,0.85,14.7,2.91,3.2,2.93,2.57,1.85,"20: 3.2 (2.93); 2.91 [0.85 - 14.7]; 2.57 (1.85)"
"65","Cu","Oliver Knoll","Monsoon",16,0.85,64.8,3.1,8.81,15.7,4.52,2.75,"16: 8.81 (15.7); 3.1 [0.85 - 64.8]; 4.52 (2.75)"
"66","Cu","Oliver Knoll","Winter",16,0.85,17.6,3.1,3.96,3.85,3.07,2,"16: 3.96 (3.85); 3.1 [0.85 - 17.6]; 3.07 (2)"
"67","Cu","Organ Pipe","Monsoon",12,0.585,16.8,3.1,4.26,4.19,3.15,2.23,"12: 4.26 (4.19); 3.1 [0.585 - 16.8]; 3.15 (2.23)"
"68","Cu","Organ Pipe","Winter",13,0.862,9.28,3.1,3.39,2.79,2.56,2.17,"13: 3.39 (2.79); 3.1 [0.862 - 9.28]; 2.56 (2.17)"
"69","Cu","Petrified Forest","Monsoon",12,1.12,7.86,3.1,3.41,1.92,2.99,1.7,"12: 3.41 (1.92); 3.1 [1.12 - 7.86]; 2.99 (1.7)"
"70","Cu","Petrified Forest","Winter",14,0.286,16.2,1.41,2.87,4.12,1.59,2.92,"14: 2.87 (4.12); 1.41 [0.286 - 16.2]; 1.59 (2.92)"
"71","Mn","Chiricahua","Monsoon",24,0.35,38.3,4.59,7.39,8.47,4.17,3.3,"24: 7.39 (8.47); 4.59 [0.35 - 38.3]; 4.17 (3.3)"
"72","Mn","Chiricahua","Winter",19,0.328,11.1,1.68,3.26,3.38,1.71,3.5,"19: 3.26 (3.38); 1.68 [0.328 - 11.1]; 1.71 (3.5)"
"73","Mn","Grand Canyon","Monsoon",16,0.76,6.98,4.07,4.16,2.12,3.51,1.95,"16: 4.16 (2.12); 4.07 [0.76 - 6.98]; 3.51 (1.95)"
"74","Mn","Grand Canyon","Winter",20,0.35,6.91,0.996,1.67,1.73,1.1,2.48,"20: 1.67 (1.73); 0.996 [0.35 - 6.91]; 1.1 (2.48)"
"75","Mn","Oliver Knoll","Monsoon",16,0.43,27.5,4.51,6.54,6.99,3.83,3.12,"16: 6.54 (6.99); 4.51 [0.43 - 27.5]; 3.83 (3.12)"
"76","Mn","Oliver Knoll","Winter",16,0.35,11.4,1.64,2.45,2.81,1.45,2.93,"16: 2.45 (2.81); 1.64 [0.35 - 11.4]; 1.45 (2.93)"
"77","Mn","Organ Pipe","Monsoon",12,0.868,34.3,5.46,8.66,9.72,4.95,3.15,"12: 8.66 (9.72); 5.46 [0.868 - 34.3]; 4.95 (3.15)"
"78","Mn","Organ Pipe","Winter",13,0.35,3.38,0.775,1.03,0.814,0.829,1.94,"13: 1.03 (0.814); 0.775 [0.35 - 3.38]; 0.829 (1.94)"
"79","Mn","Petrified Forest","Monsoon",12,0.864,251,4.86,26.6,70.9,6.33,4.18,"12: 26.6 (70.9); 4.86 [0.864 - 251]; 6.33 (4.18)"
"80","Mn","Petrified Forest","Winter",14,0.35,8.58,0.827,2.01,2.52,1.15,2.76,"14: 2.01 (2.52); 0.827 [0.35 - 8.58]; 1.15 (2.76)"
"81","Ni","Chiricahua","Monsoon",24,0.0399,1.2,0.179,0.279,0.276,0.189,2.44,"24: 0.279 (0.276); 0.179 [0.0399 - 1.2]; 0.189 (2.44)"
"82","Ni","Chiricahua","Winter",19,0.071,4.23,0.203,0.452,0.925,0.229,2.69,"19: 0.452 (0.925); 0.203 [0.071 - 4.23]; 0.229 (2.69)"
"83","Ni","Grand Canyon","Monsoon",16,0.0713,0.599,0.248,0.264,0.135,0.23,1.77,"16: 0.264 (0.135); 0.248 [0.0713 - 0.599]; 0.23 (1.77)"
"84","Ni","Grand Canyon","Winter",20,0.071,3.09,0.248,0.397,0.666,0.213,2.8,"20: 0.397 (0.666); 0.248 [0.071 - 3.09]; 0.213 (2.8)"
"85","Ni","Oliver Knoll","Monsoon",16,0.0306,0.644,0.2,0.248,0.185,0.18,2.43,"16: 0.248 (0.185); 0.2 [0.0306 - 0.644]; 0.18 (2.43)"
"86","Ni","Oliver Knoll","Winter",16,0.071,0.402,0.223,0.23,0.128,0.19,1.99,"16: 0.23 (0.128); 0.223 [0.071 - 0.402]; 0.19 (1.99)"
"87","Ni","Organ Pipe","Monsoon",12,0.078,2.05,0.279,0.412,0.535,0.263,2.52,"12: 0.412 (0.535); 0.279 [0.078 - 2.05]; 0.263 (2.52)"
"88","Ni","Organ Pipe","Winter",13,0.071,11.4,0.191,1.08,3.09,0.268,3.48,"13: 1.08 (3.09); 0.191 [0.071 - 11.4]; 0.268 (3.48)"
"89","Ni","Petrified Forest","Monsoon",12,0.078,1.81,0.194,0.366,0.48,0.237,2.36,"12: 0.366 (0.48); 0.194 [0.078 - 1.81]; 0.237 (2.36)"
"90","Ni","Petrified Forest","Winter",14,0.071,0.407,0.232,0.225,0.131,0.184,2.03,"14: 0.225 (0.131); 0.232 [0.071 - 0.407]; 0.184 (2.03)"
"91","Pb","Chiricahua","Monsoon",24,0.13,2.31,0.333,0.451,0.436,0.351,1.95,"24: 0.451 (0.436); 0.333 [0.13 - 2.31]; 0.351 (1.95)"
"92","Pb","Chiricahua","Winter",19,0.103,1.78,0.355,0.414,0.363,0.332,1.9,"19: 0.414 (0.363); 0.355 [0.103 - 1.78]; 0.332 (1.9)"
"93","Pb","Grand Canyon","Monsoon",16,0.101,0.664,0.307,0.298,0.162,0.258,1.77,"16: 0.298 (0.162); 0.307 [0.101 - 0.664]; 0.258 (1.77)"
"94","Pb","Grand Canyon","Winter",20,0.113,1.36,0.206,0.292,0.275,0.234,1.84,"20: 0.292 (0.275); 0.206 [0.113 - 1.36]; 0.234 (1.84)"
"95","Pb","Oliver Knoll","Monsoon",16,0.148,1.26,0.278,0.432,0.32,0.346,1.96,"16: 0.432 (0.32); 0.278 [0.148 - 1.26]; 0.346 (1.96)"
"96","Pb","Oliver Knoll","Winter",16,0.0807,0.705,0.218,0.295,0.191,0.248,1.83,"16: 0.295 (0.191); 0.218 [0.0807 - 0.705]; 0.248 (1.83)"
"97","Pb","Organ Pipe","Monsoon",12,0.13,1.12,0.298,0.387,0.314,0.299,2.08,"12: 0.387 (0.314); 0.298 [0.13 - 1.12]; 0.299 (2.08)"
"98","Pb","Organ Pipe","Winter",13,0.0655,0.415,0.188,0.191,0.0855,0.175,1.56,"13: 0.191 (0.0855); 0.188 [0.0655 - 0.415]; 0.175 (1.56)"
"99","Pb","Petrified Forest","Monsoon",12,0.13,2.99,0.313,0.548,0.789,0.335,2.5,"12: 0.548 (0.789); 0.313 [0.13 - 2.99]; 0.335 (2.5)"
"100","Pb","Petrified Forest","Winter",14,0.106,0.944,0.18,0.31,0.274,0.232,2.09,"14: 0.31 (0.274); 0.18 [0.106 - 0.944]; 0.232 (2.09)"
"101","Zn","Chiricahua","Monsoon",24,4.18,45,8.98,11.5,8.36,9.79,1.71,"24: 11.5 (8.36); 8.98 [4.18 - 45]; 9.79 (1.71)"
"102","Zn","Chiricahua","Winter",19,2.2,48.3,10.9,14,12.3,10.5,2.15,"19: 14 (12.3); 10.9 [2.2 - 48.3]; 10.5 (2.15)"
"103","Zn","Grand Canyon","Monsoon",16,4.41,27.5,9.1,12.5,6.87,11,1.7,"16: 12.5 (6.87); 9.1 [4.41 - 27.5]; 11 (1.7)"
"104","Zn","Grand Canyon","Winter",20,4.08,103,10.6,17.1,21.1,12.6,1.97,"20: 17.1 (21.1); 10.6 [4.08 - 103]; 12.6 (1.97)"
"105","Zn","Oliver Knoll","Monsoon",16,6.32,14.6,9.46,10.1,2.36,9.83,1.26,"16: 10.1 (2.36); 9.46 [6.32 - 14.6]; 9.83 (1.26)"
"106","Zn","Oliver Knoll","Winter",16,6.14,14.3,9.62,9.65,2.21,9.41,1.26,"16: 9.65 (2.21); 9.62 [6.14 - 14.3]; 9.41 (1.26)"
"107","Zn","Organ Pipe","Monsoon",12,2.97,201,10.8,28.7,54.9,14,2.77,"12: 28.7 (54.9); 10.8 [2.97 - 201]; 14 (2.77)"
"108","Zn","Organ Pipe","Winter",13,3.24,92.3,8.4,16.2,23.4,10.4,2.34,"13: 16.2 (23.4); 8.4 [3.24 - 92.3]; 10.4 (2.34)"
"109","Zn","Petrified Forest","Monsoon",12,4.3,28.9,8.22,9.86,6.24,8.81,1.57,"12: 9.86 (6.24); 8.22 [4.3 - 28.9]; 8.81 (1.57)"
"110","Zn","Petrified Forest","Winter",14,4.92,24.1,8.41,9.3,4.74,8.54,1.5,"14: 9.3 (4.74); 8.41 [4.92 - 24.1]; 8.54 (1.5)"
